Company,Warehouse Address,State,Source,Type,Latitude,Longitude
Becton Dickinson Global Distribution Center,"14201 Lochridge Boulevard, Covington, GA 30014",Georgia,"James Boylan, Georgia Environmental Protection Division",Confirmed,33.60651,-83.818033
KPR,"110 Kendall Park Lane South, Atlanta, Georgia",Georgia,"James Boylan, Georgia Environmental Protection Division",Confirmed,33.695014,-84.605395
Conmed,"1250 Terminus Drive, Building 100, Lithia Springs, Georgia",Georgia,"James Boylan, Georgia Environmental Protection Division",Confirmed,33.769866,-84.620421
Chemence Medical Inc,"200 Technology Dr. Alpharetta, GA 30005",Georgia,"James Boylan, Georgia Environmental Protection Division",Confirmed,34.12048,-84.215953
ICU Medical - Santa Fe Springs,"13939 Borate St, Santa Fe Springs, CA 90670",California,South Coast AQMD records request,Confirmed,33.899902,-118.034636
BD Redlands Distribution Center,"2200 West San Bernardino Ave, Redlands, CA 92374",California,South Coast AQMD records request and confirmed by company,Confirmed,34.079515,-117.231307
Medline Industries,"16415 Cosmos St, Moreno Valley, CA 92551",California,South Coast AQMD records request,Confirmed,33.8821,-117.240432
ICU Medical - Otay Mesa,"9565 Heinrich Hertz Dr., Ste 1, San Diego, CA 92154",California,South Coast AQMD records request,Confirmed,32.558351,-116.94015
PR Hospital Supply,"State Road PR-3, km 23.9, Las Flores Industrial Park, Rio Grande, PR",Puerto Rico,EPA's Information Collection Request records,Confirmed,18.376511,-65.83762
B Braun / Breinigsville Distribution Center,"200 Boulder Dr #100, Breinigsville, PA",Pennsylvania,EPA's Information Collection Request records,Confirmed,40.566969,-75.626283
Boston Scientific,"500 Commander Shea Blvd, Quincy, MA",Massacheusetts,EPA's Information Collection Request records,Confirmed,42.293361,-71.033395
Boston Scientific,"205 Hembree Park Drive, Roswell, GA",Georgia,EPA's Information Collection Request records,Confirmed,34.055396,-84.317202
Boston Scientific,"400 Hamline Ave N Dock 9, Saint Paul, MN",Minnesota,EPA's Information Collection Request records,Confirmed,44.955803,-93.156297
Boston Scientific,"780 Brookside Drive, Spencer, IN",Indiana,EPA's Information Collection Request records,Confirmed,39.292009,-86.75404
Boston Scientific,"2 Scimed Pl, Maple Grove, MN",Minnesota,EPA's Information Collection Request records,Confirmed,45.105009,-93.468503
Boston Scientific,"300 Boston Scientific Way, Marlborough, MA",Massacheusetts,EPA's Information Collection Request records,Confirmed,42.362163,-71.561151
Boston Scientific,"10700 Bren Road W, Minnetonka, MN",Minnesota,EPA's Information Collection Request records,Confirmed,44.900999,-93.415106
Arthrex Logistic Center,"14550 Plantation Road, Fort Myers, FL, 33912",Florida,EPA's Information Collection Request records,Confirmed,26.532885,-81.848914
Teleflex LLC,"11245 N Distribution Cove, Olive Branch, MS 38654",Mississippi,EPA's Information Collection Request records,Confirmed,34.991797,-89.782222
Sterilization Services V2,"5601 Eastport Boulevard, Richmond, VA 23231",Virginia,EPA's Information Collection Request records,Confirmed,37.505428,-77.353651
Stryker Distribution Warehouse,"1810 W. Drake Drive, Tempe, AZ 85283",Arizona,EPA's Information Collection Request records,Confirmed,33.355407,-111.967033
Stryker Distribution Warehouse,"1830 W. Drake Drive, Tempe, AZ 85283",Arizona,EPA's Information Collection Request records,Confirmed,33.356009,-111.968214
Cardinal Health Services - Moreno Valley Distribution Center,"6275 Lance Drive, Riverside, CA",California,On-the-ground reporting,Confirmed,33.936215,-117.305533
American Contract Systems warehouse,"8313 W Pierce St # 100, Tolleson, AZ 85353",Arizona,On-the-ground reporting,Confirmed,33.45401,-112.240257
Medline Distribution Center,"2325 W Louise Ave, Manteca, CA 95337",California,On-the-ground reporting,Confirmed,37.816342,-121.259864
Becton Dickinson warehouse - Plainfield,"2350 Reeves Rd, Plainfield, IN 46168",Indiana,Confirmed by company,Confirmed,39.680192,-86.360168
Becton Dickinson warehouse - Four Oaks,"130 Four Oaks Pkwy, Four Oaks, NC 27524",North Carolina,Confirmed by company,Confirmed,35.426482,-78.41441
Cardinal Health - El Paso,"1 Butterfield Trail Blvd, El Paso, TX 79906",Texas,TCEQ records,Confirmed,31.810915,-106.403002
